,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Canada Demand,14857.2585929109,15363.399577583,15798.287273287,16389.3381047529,16464.0395067145,16182.5057532847,16199.4220580924,16186.4131256189,16342.8222731761,16408.9696845896,16557.2264931595,16640.1341590933,16672.5361790905,16456.1814982789,16696.8594683791,16838.7390490629,16619.3678414086,16905.4381778055,16914.0447072053,16816.5642505057,17849.417971157,17465.6789513359,17515.7346466524,17369.8927353435,16305.2891743993,16223.5073194059,16596.2704861593,16107.384483713,16517.0927891663,16474.4288730511,15826.3252994063,15748.2789845465,15464.0536378705,15556.3324092012,15191.6497456903,14750.3310531395,14782.8716127233,14592.4841561525,14153.3605212561,19540.917653345638,19336.36895655156,21489.52591168395,21799.43740989972,22228.631036641833,25012.193719231596,27326.066832068725,27046.956769652526,30843.649844776,30928.047900301382
United Kingdom Demand,4826.71452591524,4953.65357621044,5082.43980630981,5232.73764921987,5295.22452686526,5356.57521000099,5451.67717061817,5452.3933334123,5491.98911810322,5380.26426515376,5575.8084890423,5815.82840427425,5831.95754702826,5908.87149023065,6007.48441621387,6114.52925918564,6141.96563637962,6142.73299024588,6174.40000957625,6138.60410694456,6271.00061545129,6200.5541127704,6102.39676772278,6015.38709332172,5644.57376782521,5712.74121099732,5472.53418140493,5456.24774371772,5395.74985578197,5118.92602909316,5078.26327433628,5009.54166476138,4932.16202286026,4901.86908838571,4775.40484159025,4522.95337408606,4571.46482742147,4335.30560321874,4135.44647550079,5606.019949681193,6789.513922894619,6011.797926971244,6481.300888105013,8422.786437904455,8096.7019932135545,8435.072939529518,8280.279143772977,9441.94414712368,9545.621352734224
United States Demand,10414.2078983205,10424.4272965398,10886.8582560496,11298.3325085174,11531.9323066701,11713.3317042099,12134.1721315039,12014.9582478929,12261.5237824091,12455.1621656545,12659.607628118,12854.2989079193,12889.8322801175,13154.7630268185,13281.8699827982,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4528282523,13663.4279681827,12913.7146883015,13392.6910118339,13235.0087662575,12945.1570388321,12972.2199687868,12962.1425409629,12828.8160828838,12806.1977101885,12604.1625559233,13054.4045353944,12678.2540503665,12393.4382563461,12556.0915792291,12968.1628097364,12644.5136936911,12809.336738547692,16488.897448762476,16521.622308736336,18215.961514600116,16686.293046459177,22326.507288987017,20620.673568653245,22374.22445902605,23546.25371206104,24843.45762844655
