,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Canada Demand,16223.5073194059,16596.2704861593,16107.384483713,16517.0927891663,16474.4288730511,15826.3252994063,15748.2789845465,15464.0536378705,15556.3324092012,15191.6497456903,14750.3310531395,14782.8716127233,14592.4841561525,14153.3605212561,13442.915441330324,14312.811885335406,15252.23526437898,15480.136321788048,15045.477108678278,15012.770372750521,12926.455485456163,13442.355179549158,13861.641782460647,13407.434923583854,14729.589417773734,15299.468398595503,14084.055413295775,12812.272064168199,12491.100140770763,12910.443909650032
United Kingdom Demand,5712.74121099732,5472.53418140493,5456.24774371772,5395.74985578197,5118.92602909316,5078.26327433628,5009.54166476138,4932.16202286026,4901.86908838571,4775.40484159025,4522.95337408606,4571.46482742147,4335.30560321874,4135.44647550079,4090.067129984122,3980.248997903666,4100.136900311911,4222.922695889717,4378.023895133381,4166.650595614788,4166.635773986461,4066.7567483501734,3969.9321464825452,3972.513546566374,3816.11317313832,3761.885086259103,3771.0671802572006,4067.551412364106,3984.178659091246,3500.87797109817
United States Demand,13392.6910118339,13235.0087662575,12945.1570388321,12972.2199687868,12962.1425409629,12828.8160828838,12806.1977101885,12604.1625559233,13054.4045353944,12678.2540503665,12393.4382563461,12556.0915792291,12968.1628097364,12644.5136936911,12976.037654776153,13168.806709300616,13979.51530135339,13903.632447043818,13903.76906114143,13092.050398084533,12922.750612460612,13346.864195780941,12751.380682584346,11812.505883988515,11691.211811075107,12239.214663805784,11587.497983733767,12435.71551836875,12752.12627734019,12742.126974504037
Canada Supply,633.19,658.9499999999999,661.0799999999999,650.9522542086443,603.8199999999999,639.6476326718727,574.0182221251455,632.824614614302,655.69,639.2194564378456,608.4300000000001,569.97554,649.93,518.4688,668.1500000000001,628.945142887131,613.87,567.6785382551838,653.9,652.983092713988,632.0542911195002,556.307554,587.76,599.79,575.9798499999999,560.19741,638.27,570.6485150000001,506.842884,607.8688258000134
United Kingdom Supply,285.91999999999996,322.28999999999996,338.87,305.93784259051375,377.05999999999995,312.3484662521206,255.4318708489793,229.19373190663944,358.28,244.10187734817606,397.27000000000004,350.87,309.17999999999995,321.03999999999996,339.18,285.47739226608616,376.76,268.3158195268095,314.9,241.18342795758144,190.45853631902065,337.41999999999996,384.77,387.24,368.15,362.71,367.97,350.67,322.88,241.37668860223405
United States Supply,4253.91,4286.889999999999,4083.9900000000002,4314.479200355444,3802.1000000000004,4364.587914106948,4487.921745552447,4734.502094506655,4055.61,4775.649047841795,4046.94,3649.0240999999996,4153.62,3270.5926600000003,4087.56,4443.956784443808,3939.8199999999997,4185.981544605389,4043.1800000000003,4826.00466406327,4799.9949680562195,3553.60836,3727.5699999999997,3844.2299999999996,3917.8035800000002,3839.2272199999998,4088.87,3700.62516,3257.7151599999997,4964.61507469368
Total Supply,5173.02,5268.129999999999,5083.94,5271.369297154602,4782.98,5316.584013030942,5317.371838526571,5596.5204410275965,5069.58,5658.970381627817,5052.64,4569.86964,5112.7300000000005,4110.10146,5094.89,5358.379319597025,4930.45,5021.975902387382,5011.98,5720.17118473484,5622.50779549474,4447.335914,4700.1,4831.259999999999,4861.93343,4762.13463,5095.11,4621.943675,4087.438044,5813.860589095927
Total Demand,35328.93954223712,35303.813433821735,34508.78926626282,34885.06261373507,34555.49744310716,33733.40465662638,33564.01835949638,33000.37821665406,33512.60603298131,32645.308637647053,31666.72268357166,31910.42801937387,31895.95256910764,30933.320690447992,30509.0202260906,31461.867592539686,33331.88746604428,33606.69146472158,33327.27006495309,32271.47136644984,30015.841871903234,30855.976123680273,30582.954611527537,29192.454354138743,30236.91440198716,31300.56814866039,29442.620577286743,29315.538994901057,29227.4050772022,29153.448855252238
Ratio,0.1464244346710564,0.14922268977755895,0.14732304749301256,0.1511067747110518,0.1384144449917062,0.15760591221516637,0.15842476849980952,0.16958958483097752,0.15127382200628595,0.17334712452685494,0.15955677038284902,0.14320928685837375,0.16029400560846896,0.13286971357294894,0.16699618546396222,0.17031345338404566,0.14791991617704597,0.14943380867048964,0.15038675505770246,0.17725163875489297,0.18731801091868658,0.14413207659267382,0.15368364697596637,0.16549687605540608,0.16079462888847135,0.1521421147176145,0.17305219101082933,0.15766190332723917,0.1398495019726627,0.19942273787097786
