,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Canada Demand,16223.5073194059,16596.2704861593,16107.384483713,16517.0927891663,16474.4288730511,15826.3252994063,15748.2789845465,15464.0536378705,15556.3324092012,15191.6497456903,14750.3310531395,14782.8716127233,14592.4841561525,14153.3605212561,19540.917653345638,19336.36895655156,21489.52591168395,21799.43740989972,22228.631036641833,25012.193719231596,27326.066832068725,27046.956769652526,30843.649844776,30928.047900301382
United Kingdom Demand,5712.74121099732,5472.53418140493,5456.24774371772,5395.74985578197,5118.92602909316,5078.26327433628,5009.54166476138,4932.16202286026,4901.86908838571,4775.40484159025,4522.95337408606,4571.46482742147,4335.30560321874,4135.44647550079,5606.019949681193,6789.513922894619,6011.797926971244,6481.300888105013,8422.786437904455,8096.7019932135545,8435.072939529518,8280.279143772977,9441.94414712368,9545.621352734224
United States Demand,13392.6910118339,13235.0087662575,12945.1570388321,12972.2199687868,12962.1425409629,12828.8160828838,12806.1977101885,12604.1625559233,13054.4045353944,12678.2540503665,12393.4382563461,12556.0915792291,12968.1628097364,12644.5136936911,12809.336738547692,16488.897448762476,16521.622308736336,18215.961514600116,16686.293046459177,22326.507288987017,20620.673568653245,22374.22445902605,23546.25371206104,24843.45762844655
Canada Supply,613.87,506.842884,560.19741,,688.6859629468589,638.27,1193.9511506795093,598.5,530.0671600000001,480.44124999999997,798.8388075750044,947.0257906166423,603.8199999999999,636.54,633.19,668.1500000000001,,635.11,653.9,518.4688,661.51,,649.93,620.5
United Kingdom Supply,376.76,322.88,362.71,298.1873,316.8168399881148,367.97,659.4171757788004,393.91999999999996,323.11,319.75,423.1182989608534,492.48360336535677,377.05999999999995,363.87,285.91999999999996,339.18,300.1488,388.96,314.9,321.03999999999996,333.72,310.84031,309.17999999999995,398.35
United States Supply,3939.8199999999997,3257.7151599999997,3839.2272199999998,2675.7447700000002,4471.855505696867,4088.87,8206.852164916756,3951.9500000000003,3390.745,3222.10714,5014.395237500622,6751.31640101566,3802.1000000000004,4040.67,4253.91,4087.56,2771.8322,4107.530000000001,4043.1800000000003,3270.5926600000003,4201.55,3150.52347,4153.62,4034.99
Total Supply,4930.45,4087.438044,4762.13463,2973.9320700000003,5477.358308631841,5095.11,10060.220491375067,4944.370000000001,4243.92216,4022.29839,6236.35234403648,8190.825794997659,4782.98,5041.08,5173.02,5094.89,3071.9809999999998,5131.6,5011.98,4110.10146,5196.780000000001,3461.36378,5112.7300000000005,5053.84
Total Demand,35328.93954223712,35303.813433821735,34508.78926626282,34885.06261373507,34555.49744310716,33733.40465662638,33564.01835949638,33000.37821665406,33512.60603298131,32645.308637647053,31666.72268357166,31910.42801937387,31895.95256910764,30933.320690447992,37956.27434157452,42614.78032820865,44022.946147391536,46496.69981260485,47337.710521005465,55435.40300143217,56381.813340251494,57701.46037245155,63831.84770396072,65317.12688148216
Ratio,0.13955839218172555,0.1157789384895218,0.13799773133900278,0.08524944051065264,0.15850902790937593,0.15104049092771157,0.29973230212254054,0.14982767674780045,0.1266365902974946,0.12321214158659924,0.1969370940704208,0.2566817903546997,0.14995570330238342,0.1629660148823483,0.13628892955739477,0.1195568758247819,0.06978135878763811,0.11036482203429131,0.1058771103384056,0.07414217697477217,0.09217121075263417,0.05998745538947506,0.08009685108461555,0.07737388708431996
