,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
United States demand,418.7,423.9192223549,429.0384447098,434.1576670647,439.2768894196,444.3961117745,444.3961117745,444.3961117745,444.3961117745,444.3961117745,444.3961117745,444.3961117745,559.1399864900545,505.34318990937925,527.1282162670884,613.0775396404481,654.3332245016862,709.3078846139213,824.514037444217,792.3961086871545,772.001804363852,918.0118597721188,885.0990931896819,963.7384591880806
United States supply,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,3390.29159211471,3608.7838424888682,3648.0613417662566,4186.332364641012,4461.664944144367,4352.612074353425,4602.775018059046,4935.599314122356,5340.37546364967,5209.533470176767,5797.828384371264,6911.0191312268125
United Kingdom demand,8.264,7.685,8.017,7.651,7.285,8.16,8.419,8.419,8.419,8.419,8.419,8.419,8.94098488642914,10.631391113721104,11.070653587160335,13.027637773765433,11.167549430307012,12.673096118299505,14.756318618705826,14.569284728384574,16.553502492831424,17.883086116352903,15.749975237025383,19.477163027991722
United Kingdom supply,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,162.94209599818063,155.26710288076603,189.22992170017395,212.29235198823798,227.82489439837772,227.10371444268242,236.25514190992087,249.33915058111168,254.69437869122243,296.04148238085014,293.7590409356031,307.4370942154536
Canada demand,37.19865,35.6,36.44,37.28,36.505,35.73,35.9915,36.253,36.253,36.253,36.253,36.253,44.10288242801677,42.312522490346986,48.262443376050896,52.35783858801262,51.55997632138169,61.17490139316487,65.51132519577848,70.64616108712977,68.02496880201029,73.05936979660396,76.35419158346826,81.39778067305195
Canada supply,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,3240.6290900583667,3241.347671127458,4227.572787732353,3772.8797743680952,4734.483478953105,4709.916204418889,3955.618025147033,4972.434298241097,5520.602740796853,5778.678758487094,5862.028660148974,6390.879920150794
Total Supply,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,5813.0,6793.862778171258,7005.398616497093,8064.864051198784,8171.504490997345,9423.97331749585,9289.631993214996,8794.648185115999,10157.372762944566,11115.672583137744,11284.25371104471,11953.616085455842,13609.336145593059
Total Demand,464.16265,467.2042223549,473.4954447098,479.0886670647,483.06688941960005,488.28611177450006,488.80661177449997,489.0681117745,489.0681117745,489.0681117745,489.0681117745,489.0681117745,612.1838538045005,558.2871035134473,586.4613132302997,678.4630160022261,717.0607502533749,783.1558821253857,904.7816812587013,877.6115545026688,856.5802756586937,1008.9543156850757,977.2032600101755,1064.6134028891242
Ratio,12.52362722420686,12.442096457733422,12.276781255124265,12.133453365981971,12.033530194926547,11.904905463878022,11.892228664619001,11.885870004708595,11.885870004708595,11.885870004708595,11.885870004708595,11.885870004708595,11.097749043771518,12.548021568849219,13.75174094055163,12.044141387613283,13.142503357164465,11.86179176488353,9.720188159514,11.573882215692361,12.976801940238476,11.184107680220139,12.232476675662513,12.783359770467236
