Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2011","2011","g/cap/d","0.33","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2012","2012","kcal/cap/d","97.02","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2012","2012","g/cap/d","2","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2012","2012","g/cap/d","0.33","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2013","2013","kcal/cap/d","128.24","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2013","2013","g/cap/d","2.64","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2013","2013","g/cap/d","0.43","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2014","2014","kcal/cap/d","98.52","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2014","2014","g/cap/d","2.04","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2014","2014","g/cap/d","0.35","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2015","2015","kcal/cap/d","92.3","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2015","2015","g/cap/d","1.9","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2015","2015","g/cap/d","0.31","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","664","Food supply (kcal/capita/day)","S2807","Rice and products","2016","2016","kcal/cap/d","102.98","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2016","2016","g/cap/d","2.12","E","Estimated value",""
"FBS","Food Balances (2010-)","124","Canada","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2016","2016","g/cap/d","0.35","E","Estimated value",""
